Type,Name,January,February,March,April,May,June,July,August,September,October,November,December
Seafood,Sablefish (Black Cod),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Seafood,Salmon: Chinook/King/Spring,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Seafood,Salmon: Chum,N,N,N,N,N,N,Y,Y,Y,Y,N,N
Seafood,Salmon: Coho (Northern),N,N,N,N,N,N,Y,Y,Y,N,N,N
Seafood,Salmon: Pink,N,N,N,N,N,Y,Y,Y,Y,N,N,N
Seafood,Salmon: Sockeye,N,N,N,N,N,Y,Y,Y,N,N,N,N
Seafood,Sardines: Pacific,N,N,N,N,N,N,N,N,Y,Y,N,N
Seafood,Scallops,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Seafood,Shrimp: Side Stripe,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Seafood,Shrimp: West Coast,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Seafood,Spring Dogfish,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N
Seafood,Tuna: Albacore,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N
Herbs,Bay Leaves,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Herbs,Basils,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Herbs,Chives,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N
Herbs,Chives - garlic,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N
Herbs,Chervil,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Herbs,Cilantro,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Herbs,Dill-leaf,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
Herbs,Dill-seed,N,N,N,N,N,N,N,Y,Y,Y,N,N
Herbs,Epazote,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Herbs,Fennel-leaf,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Herbs,Fennel-seed,N,N,N,N,N,N,N,Y,Y,N,N,N
Herbs,Lavendar,N,N,N,N,N,Y,Y,Y,N,N,N,N
Herbs,Lemon Grass,N,N,N,N,N,N,Y,Y,Y,N,N,N
Herbs,Lemon verbana,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N
Herbs,Marjoram - sweet,N,N,N,N,N,N,Y,Y,Y,Y,N,N
Herbs,Mints,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N
Herbs,Oreganoes,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
Herbs,Parsleys,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Herbs,Rosemarys,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Herbs,Sages,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Herbs,Savory - summer,N,N,N,N,N,N,Y,Y,Y,Y,N,N
Herbs,Savory - winter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Herbs,Shiso,N,N,N,N,N,N,Y,Y,Y,Y,Y,N
Herbs,Sorrel,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
Herbs,Tarragon - french,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N
Herbs,Thymes,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Dairy Products,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Eggs,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Beef,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Buffalo,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Chicken,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Duck,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Goat,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Lamb,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Ostrich,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N
Meat & Dairy,Pheasant,Y,N,N,N,N,N,N,N,N,Y,Y,Y
Meat & Dairy,Pork,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Rabbit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meat & Dairy,Turkey,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
